original,translation
brown hat,.
brown headwear,.
brown hooves,.
brown horn,.
brown inner ear,.
brown jacket,.
brown legs,.
brown legwear,.
brown mane,.
brown markings,.
brown nipples,.
brown nose,.
brown pants,.
brown pawpads,.
brown paws,.
brown penis,.
brown perineum,.
brown pubes,.
brown pupils,.
brown pussy,.
brown scales,.
brown sclera,.
brown sheath,.
brown shirt,.
brown shoes,.
brown shorts,.
brown skin,.
brown spots,.
brown stripes,.
brown tail,.
brown tail tip,.
brown theme,.
brown topwear,.
brown wings,.
bruised,
brush,
brushing,
brushing teeth,.
brute wyvern,.
bubble,.
bubble butt,.
bubble gum,
bubble tea,.
bucket,
buckle,.
buckteeth,
building,
building destruction,.
buizel,.
bukkake,
bulbasaur,.
bulge,
bulge from behind,.
bulge frottage,.
bulge grab,.
bulging breasts,.
bull terrier,.
bulldog,.
bullet,
bulletproof vest,
bully,.
bullying,.
buneary,.
bunny costume,
burger,
burmecian,.
burning,
burp cloud,.
burping,.
bus,
business suit,
bust portrait,
busty feral,.
butler,
butt,
butt blush,.
butt cleavage,.
butt crush,.
butt expansion,.
butt focus,
butt from the front,.
butt grab,
butt hair,.
butt heart,.
butt jiggle,.
butt lick,
butt markings,.
butt pose,.
butt shot,.
butt size difference,.
butt slap,
butt smother,.
butt sniffing,.
butt squish,.
butt tattoo,.
butt tuft,.
butt wings,.
butt worship,.
butterfly,
button (fastener),.
button ears,.
button eyes,.
button pop,.
buttplug,
buttplug in ass,.
buttplug insertion,
buttplug tail,
cabin,
cabinet,.
cable,
cactus,
cafe,
cage,
caitian,.
cake,
calendar,.
calico cat,.
calling for help,.
calves up,.
camel toe,cameltoe
camelid,.
camera,.
camera view,
camisole,.
camo,
camo bottomwear,.
camo clothing,.
camo pants,.
camo print,.
campfire,
camping,.
can,
can't see the haters,
canadian lynx,.
candle,
candlelight,
candy,
candy cane,
cane,
canid,.
canid humanoid,.
canid taur,.
canine,.
canine dildo,.
canine genitalia,.
canine humanoid,.
canine penis,.
canine pussy,.
canine taur,.
caninu,.
canis,.
cannon,
canon couple,.
canon x oc,.
cape,
cape buffalo,.
cape only,.
capelet,.
caprine,.
caprine demon,.
caprine horn,.
caprine humanoid,.
caption,.
captured,
capybara,.
car,
car interior,
caracal,.
caracal (genus),.
card,.
card game,.
card template,.
cardboard,.
cardboard box,
cardinal (bird),.
caressing,
cargo pants,
carp,.
carpet,
carpet shark,.
carrot,
carrying another,carrying
carrying partner,carrying
carrying position,carrying
castle,
castration,
casual erection,.
casual exposure,.
casual nudity,.
casual sex,.
cat ear panties,
cat humanoid,.
